borough,health,n,proportion,borough_total
Bronx,Good,66603,0.8264937643482038,80585
Bronx,Fair,10887,0.13509958428988025,80585
Bronx,Poor,3095,0.03840665136191599,80585
Brooklyn,Good,138212,0.8142379112074654,169744
Brooklyn,Fair,25073,0.1477106701856914,169744
Brooklyn,Poor,6459,0.038051418606843246,169744
Manhattan,Good,47358,0.758614061223509,62427
Manhattan,Fair,11460,0.1835744149166226,62427
Manhattan,Poor,3609,0.057811523859868326,62427
Queens,Good,194008,0.8152487246505921,237974
Queens,Fair,34549,0.14517972551623287,237974
Queens,Poor,9417,0.039571549833175054,237974
Staten Island,Good,82669,0.8149385855957099,101442
Staten Island,Fair,14535,0.14328384692730822,101442
Staten Island,Poor,4238,0.04177756747698192,101442
